Text,Label
walter ಒಂತೆ ಉದ್ದ ಇತ್ತಿನೆಟ್ ಬಚಾವು ಇಜ್ಜಿಂಡಾ ಇರುವೆರ್ಲಾ ಸೇರ್ದ್ ಅರೆನೇ ತಿಂತುವೆರ್,Neutral
Bangude edde sale avu nana,Positive
"""ಎಂಚಿನ ಅವಸ್ಥೆ  ಮಾರ್ರೆ...",Neutral
Actors are good but concept is hurting religious point .,Mixed
OMG Samuel 🫶🫶 rakshita wow super 🫶,Not Tulu
Umash comedy we like,Not Tulu
grat thulunadu .....very nice,Not Tulu
Full film padle bro plz,Positive
ಈರ್ ಅವೊಲಿ ಮಾರೆ.. ರಾತ್ರೆ ಪುಲ್ಯ ಆಪಿನ ದುಂಬು ಸ್ಕ್ರಿಪ್ಟ್ ರೆಡಿ ಮಲ್ತ್ ಶೋ ರೆಡಿ ಮಲ್ತರತಾ!,Positive
"ರಾಜ್ಯ ಬಾಸೆ ತುಲು ಆವೊಡುಂದ್ ಬಿನ್ನಪು

#TuluOfficialinKA_KL #SpeakUpForTulu ",Neutral
Ur so upgrading urself.... Good move man,Not Tulu
"bare edde vishaya n bare shok de kushal d therpadar ....""",Positive
the eyes are closed (seeing the paint) or is it lens?🤔,Not Tulu
Wonderful lyrics!!!+ aww song...... Everything is well done!!best of luck 😍😍😍,Not Tulu
Yan santhu n kindnap mnpoda....😂,Neutral
""" @shaileshsurathkal745  thnqqq sir,akka nataka tikkundala padle""",Neutral
Deepk Rai super comedy,Not Tulu
SUPERB JUST AWSOME ....GREAT GOING..ALL THE BEST FROM TEAM #KALASPARSHA,Not Tulu
😍😍😍😍  super voice jaiii tulunaad,Positive
Sandeep Shetty 🥰 Awesome ActIng Keep It Up🥰,Not Tulu
Daayena eath laik da film n la unlike manpvar,Positive
Kya socha anna super 🔥🔥🔥,Not Tulu
ಬಾರಿ ಪೊರ್ಲುದ ಸಾಹಿತ್ಯ ಮೊಡೆತೆರ್.  ಪದ ಪಂಡಿನಲಾ ಬಾರಿ ಪೊರ್ಲು. ನಿಕ್ಲೆ ತಂಡಗ್ ಶುಭ ಆವಡ್.,Positive
ಕ್ಲೈಮ್ಯಾಕ್ಸ್ yedde ಆಯಿಜಿ comedy suprrr,Mixed
"""Amogha, bhaynkara, abhinaya, Prashantck, Bangadi, yan, telipun, Bari, Kadime, undunikalna, e, Hasya,thodu,enk,telth,telth,saakand,god,blessings,you,all""",Positive
pls don't use English only use tulu,Not Tulu
"RT @CouncilTuluvas: ಸೊಲ್ಮೆಲು.
THANK YOU.

🐄DAKSHINA KANNADA CO-OPERATIVE MILK PRODUCERS' UNION LIMITED.

#ReviveTuluScript 
#Tulunad https:…",Positive
materla old artist new artist g  avakasha ?,Mixed
"ಸುರ್ಯ ಶ್ರೀ ಸದಾಶಿವ ರುದ್ರ ದೇವಲ್ಯ ಅಲ್ತ ಮಣ್ಣ್‌ದ ಪರಕೆರ್ದಾವರ ಪುದರ್  ಪಡೆದುಂಡು.
#KooInTulu
#ನಮ್ಮ_ಊರು ",Neutral
That was epic! First video of MIK that I had watched!!! Poooyeeeee.......,Not Tulu
6:49 first ge areg kena yedde athund,Mixed
Wow  super geet,Not Tulu
Yan MIK subscribe maltini ye Sharan Chilimbi rdh 😂🔥❤️,Neutral
ಬಾರಿ ಪೊರ್ಲುದ ಯಕ್ಷ  ರಸ  ಕೋಟಿ ಚೆನ್ನಯೆರ್ನ ಪೊರ್ಲುದ ಸಾರಾoಶ 🙏🙏,Positive
I am big fan of Prajwal. His dialogues r great. Because of yakshagana background.,Not Tulu
"""Aunty mat kahona ,😃😃😃""",Not Tulu
Padil is from vadra coness natural,Not Tulu
ತೆಲ್ತ್ ತೆಲ್ತ್ ಸಾಕಾಂಡ್,Positive
ಕಣ್ಣೂದ ರೆಪ್ಪೆಳ ಮುಚ್ಚನದೇನೆ,Neutral
Bhai .. yedde maldar but erna SANTHU yer pandh ora thuvod..,Positive
ಸಂತುನ್ ವರ ತೋಜಲೆ ಮರೆ..,Negative
"ಸೂಪರ್ ಹಾಸ್ಯ ,ಸೂಪರ್ ಮನರಂಜನೆ thank you mijar & team thank you namma tv",Not Tulu
"""😁😁😁I'm big fan of you",Not Tulu
Sir pls full movie upload manpule,Positive
porl aatnd song,Positive
Still looking for PUKULI 🤣 🤣 🤣,Not Tulu
Supar baghavathige good thanks,Not Tulu
Niklena studio bejai d uppunu athe,Mixed
Kapikad sir na voice bari shok undu,Positive
That sound was unnecessary 😂😂rest all were fab 🔥😂😂,Not Tulu
Lelele ee manipade Kulu,Neutral
#we want santhu back😍,Not Tulu
"""Go VEGAN 🌱 Sulae Makla.",Not Tulu
Super story onte comedy la uppad 👌,Mixed
"""Superb....dp, jp and...all full drama padle...broi...❤❤❤""",Positive
Very good acting eeranna and Shobha Rai keep it up,Positive
Woww sppr marre,Positive
Super adu undu,Positive
BEST EVER REVIEW 😂🤣 I HAVE SEEN IN MY LIFE,Not Tulu
Fabulous Lyrics 👌❤️,Not Tulu
Yenchina comedy mareyere 😀😀,Positive
beautiful anchoring too good .............best performance,Not Tulu
He lost his father recently. So u know the rituals.,Not Tulu
Super kapikad Anna . Tulu film nanala ettharag belevad,Positive
That graveyard part was soo funny,Not Tulu
"""1st view within 11 seconds",Not Tulu
ಸೂಪರ್ ಸಚಿನ್ ಅಣ್ಣ,Positive
ದಿನಾಲ ಶೋ ಉಪ್ಪುಂಡು ಓಲಾಂಡಲ..ಅಲ್ಪ‌ ತೂವೊಲಿ.,Neutral
aiyyoooo that sound effects,Neutral
Already release agide mathe yake trailer?,Not Tulu
Yankala though song mast eshta anda,Positive
Part 2 malple gammath aapund😂,Positive
Love you ajjisooo cute,Positive
"Anna inchina same content Namak bodu 😚☺️""",Positive
Aravind bolar sir is superb 👌👌👌,Not Tulu
Feels like watching Evil dead movie 👍,Neutral
ಭಯಂಕರ ಪುಕುಲಿ .\u200c\u200c.... Heavy pukuli .....,Negative
Wow nice songs I like it,Not Tulu
Raikile erEnglisha teamg danyavadagalu,Positive
"Full meals comedy ,super",Positive
Baleg vanthe chips thikkuva    dialogue da character manthinar,Neutral
Umbena pukuli burn aand ge 😜😂😜😂,Neutral
Haha yedde comedy marre,Positive
❤❤❤❤❤❤ shree guliga. Daive ❤❤❤❤,Neutral
Arena pukuli n naadereg  yer pura barpar like malpule,Neutral
please inchanay seasons continue malpulay vijayanna bokka Shiva sharan shettr best off luck,Positive
aath yaavand ye,Mixed
Ora santhu n tojale😂😅,Neutral
Nanu kai nodkonde,Not Tulu
"..different meaning in our language""",Not Tulu
Akka Tulu Nataka Devdas Kapikad | Aravind Bolar\r,Neutral
sooper itte olu thundala Ambade kitte,Positive
Congratulations Deekshakkkka ❤️and all d very bestttttt shine high ✨❣️,Not Tulu
"""undu artists.. situation toodhu dakkini,😂😂😂😂 super skit""",Positive
ಭಲೇ ಪಡಿಲ್ ವಾಮಂಜೂರು ಜೋಡಿ ️,Neutral
Tubelight movie review malpule Arpith,Mixed
"""Only tulu Nadu mathe kundapura kannadigaru can understand 🙄😂",Not Tulu
ಬಾರೀ ಕುಶ್ಶೀ ಆಪುಂಡು ಶುದ್ದ ತುಲು ಕೇನರ  ನಿಜವಾದ್ ಅಡಿಗೆದ ಬೇಲೆ ತೂದು ಕಲ್ಪೊಡ್  ನಮ,Positive
"#GenaSiri

",Not Tulu
गित यति राम्रो छ तर भिउज किन गयन ?,Not Tulu
Natakada name dde.. plz upload it,Neutral
Nepali dakleg confuse avond und comments kandabatte undu aaanda ovla artha apuji pandh🤣🤣,Neutral
Film d yedde review undu😆😆😆😆,Positive
Wow ajji love you  radd budle ajjj areg😄😄😄😄😄,Mixed
Bro manglore the javnerna gobbuda bagge video malpi,Neutral
"""op santu in the chat",Not Tulu
Prajwalere vante koragappana style undandh,Mixed
Super. Jai. Tulunadu,Positive
Dont insult our Vishwakarma samaja🙏,Not Tulu
"Performens, good, and, best, Hasya, kalavidar,panda,nikalnacha,ippodu,",Positive
Full video super aathnd bro I have enjoyed alot,Positive
Atid onji Dina film ol tikkund,Neutral
SALMAN PinKHAN NA MOVIE-D YEDDE UNDU REVIEW MOVIE ITHAND😂... GOOD GOIN BRO... LOVED IT...,Positive
Super athnd  annanala akkanala acting...,Positive
Subscribe - bra chaddi,Neutral
Super umesh anna,Positive
We want to see santhu's real face plzzz.....,Not Tulu
"ತುಳು ಬರವುಮಾಲೆದ 12ನೇ ಅಚ್ಚರ : è , ಎ' , എ'

#TuluBaravu
#ReviveTuluScript ",Neutral
Yenchina upabhre a santuna,Neutral
12:52 100% yelru avra avra Ky beralanna nodkonde iratre,Not Tulu
Music director destroyed the full episode here,Not Tulu
ಮಸ್ತ್  ಲೈಕ್  ಅತುಂಡ್,Positive
Imber benkinatheshvara atadarathe spr comedy,Positive
Hi rakshita..pls share urs n vikas na story when n how u guys met😊,Not Tulu
ಸ್ಟೀಲ್ ಪಾತ್ರೆ use ಮಲ್ಪುಲೇ 🙏,Neutral
"Consonant: sa, ಸ, സ

#TuluBaravu
#ReviveTuluScript ",Neutral
ಬಲೇ ಬಪ್ಪರ್ ರ್ಪಾತೆರ್ಲೆ,Negative
"""Navine nanji d saipe.....ayag avve pokala.........bukka mc savuda mc ayana..",Negative
Bari Porluda Comedy Show,Positive
Really actng .what a beautiful.tulu cinema g ninna lekka actor bod.best of luck baby.,Positive
Superb thanks namma tv,Not Tulu
Full episode padle,Neutral
really  he is  stright forward..,Not Tulu
"""Thoroughly enjoyed the song, was definitely worth the wait!!Wonderful lyrics and cinematography 🥰",Not Tulu
"ಜನಪ್ರತಿನಿಧಿಗಳಲ್ಲಿ ನಮ್ಮ ಕೆಲವೊಂದು ಪ್ರಶ್ನೆಗಳು... ಉತ್ತರದ ನಿರೀಕ್ಷೆಯಲ್ಲಿ
#TuluOfficialinKA_KL
#SpeakUpForTulu 
#1 ",Mixed
Annaaa jokulu la thooper irna videos.... beep beeep🤭🤐😬😝😝😝,Neutral
You are best best than arpith ❤️❤️❤️❤️❤️❤️❤️,Not Tulu
"avu sapthapadi padunaga music padiyere, please avu music ovu song da",Positive
ಕಲಾವಿದರು ದೇಶದ ಆಸ್ತಿ,Not Tulu
Erandala pilibail yamunakka movied medical d ippuna artist na pudar panle plz,Mixed
ಸುರುಡ್ದು ಅಕೇರಿ ಮುಟ್ಟದ ಆಡಿಯೋ ಉಂಡ ದನಿಕುಲೇ,Neutral
"Wow, Abba, Amogha, abhinaya, prajwalkumar, bokka, Prashantck, nikalnachinakulu, bode, Nikulu, ijjardala, mini,, avanndya",Positive
Pukuli tikknda yereg andala...mangloreans....???,Neutral
Super next video madi,Not Tulu
ಭೋಜರಾಜ್ ನಾಟಕ budiyara,Mixed
4 jana 1st view,Neutral
Nice editing bro and best news 👌👌😅,Not Tulu
JK film du malple,Positive
Today's show felt so incomplete without santhu 🙈,Not Tulu
bari supr soku atnd  supr maltudr matrla mst kusi and  Climax,Positive
Undhe n YouTube d thooyere andala mobile bodathe,Positive
Nalathu topic pasondu barondu upule VV sir,Neutral
Bro video onchooru long manpule.....er thuijindala yan full thoovoli👍🔥😍,Mixed
"""good ideas but lengthy narration.  Acting, costumes and makeup natural.""",Not Tulu
"ಕೇರಳ ರಾಜ್ಯೊಡು

#BaleTuluLipiKalpuga #BTLK #TuluScript #tuluscriptlearningclass  #tulubarahu  #TuluBaravu #TuluLipi #JaiTulunad #TuluAcademy ",Neutral
"Yan lakkad korpae, e kankane paad...",Neutral
Yenna fvrt umeshanna  solmelu all team gu,Positive
Nan brandu rupa Jan guru,Not Tulu
ಸೂಪರ್ ಸರ್ ಸಾಂಗ್ ಬ್ಯೂಟಿಫುಲ್ lyrics👌❤️😍,Positive
"ಹಿಂದಕ್ಕೆ ಕೆ..... ಸೇರಿಸ್ಕೊ😂😂😂""",Not Tulu
"Ayo devare ...,thelthud thelthud ....sakand",Positive
"""Nikul great ye,thanks for entertaining us""",Positive
Uthsav na retteg taaka paadle,Mixed
Av movie yncha download palpunu app d,Neutral
Baari porlu Superrrrr,Positive
"""ಶುಭ ಗುರುವಾರ,ದ, ಶುಭ ಹಾರೈಕೆಗಳು""",Not Tulu
ನಿಕ್ಕು ನಾಯಿಗೂ ಮಧಿಮೆ ಅತ್ಹುಂಡ 😂😂,Neutral
Comedy...wow..Pura ellad la gas da vishayad..,Positive
Thoma thoma thoma thoma,Not Tulu
This business Hs to bi stopped regarding POOJA.,Not Tulu
YEnglishna fav team... Prashamsa.. Porlu telipaver.. lastg yedde Message korper.. Best team,Positive
Kudla dakle mata mule serdarande,Neutral
RT @TuluveKiran: Karnataka Assembly session starts today. #Tulu is yet to receive official recognition from the govt. We shall observe for…,Mixed
Kule baaaaari uddddddaaaaaye,Mixed
When you come here and see all tuluvas comments,Not Tulu
Yappa devare ivaru yalli avaru marre,Not Tulu
Arpith's One Man Show comes every Thursday.,Not Tulu
6-5=2 da onji review malpule,Positive
Hhahahhahhha. Super duper comedy,Not Tulu
Dadeye Arpith err comments reply korpujar baari bejar,Negative
Part 2 manpule  bro.super story,Positive
Aravinderu  masthu sapoora aayerathe?,Mixed
Kattapa new look super  😜😜,Not Tulu
Very nice bhagavathike.,Positive
ಇದ್ಯಾವ ಬಾಶೆನೊ ಮಾರಾಯ,Not Tulu
Chaiythra eer wanji conseft malupule pleas eeer acting thuyere masth kusi aapundu,Positive
ಈರ್  ಭಯಂಕರ  ಮಾರ್ರೆ  aue ಮಾಯಾ  ಅದುಲ  dance  manpuvarata,Positive
"""Samartha himmela Boka mummela",Positive
Yet sala tundala bore apuji️,Positive
"""Sama beary bandle ,pinendre joke akro""",Not Tulu
Suprrrr 3 kukkku chotu,Positive
E uganda daye adippodu 😂😂😂,Negative
Nikulu dala tinande sumar dina andathenna..... Dala tinle marre....!,Neutral
Ovvu film da ??,Neutral
"Maya ati na pukulin plastic surgery malth sari malpuga. 🐱""",Neutral
"""Dheeraj Rai, you rock with superb voice, raga and thaala. Mesmerising Performance 🙏🙏""",Not Tulu
Anulu bachelor party ge kapunu,Mixed
"Good efforts by team .... Keep going ❤️""",Not Tulu
Lobo Travels 3. Loberna mujet nelond ulle,Mixed
एकदम  दामी  लाग्यो मलाई यों गीत।,Not Tulu
Admin Confuse aape.,Neutral
"""ಬಾರಿ ಸೋಕುದ ಪದ  ತುಳುನಾಡ ಪೊರ್ಲು",Positive
ಕಾಪಿಕಾಡಣ್ಣನ ಸ್ವರ ಎಡ್ಡೆ ಉಂಡು,Positive
This is arpit ka man ka aawaaz when santhu hits a score 🤣🤣🤣🤣🙈🤣🤣🤣,Not Tulu
Navin padeel good job👍,Positive
Pukuli da wa maya mare😂😂😂,Neutral
ranga bolli madav super actng good luck,Not Tulu
Boda na onjji pucchey,Mixed
"""Superb, hair style and without mush and beared looking change. Changes is permanent""",Not Tulu
6000 da kule eethe,Neutral
Script tight divare try malpule.,Neutral
Nice song pukuli baari shokunduye,Positive
Along with that Santhu reveal😜,Not Tulu
"Ejjinda ereg Jana Kadapadodavu🤭🤭😜😜""",Neutral
"Yero pander ""pukuli maya"" athendge...ancha bathe...', ""Mangalore'ns  trend... Song"", 'Yenchi pukuli song marre",Mixed
Love you bro tq,Not Tulu
"ಧನ್ಯವಾದಲು ಅಣ್ಣೆರೆ, ಬಾಕಿದ ಎಪಿಸೋಡ್ ಇಜ್ಜೆ",Positive
Dinesh kodavoor athu.. Kodapadavu,Mixed
Same muttappa Rai voice,Negative
Love pukuli ️kudlada pukuli ️,Neutral
Edda gana... inthu filimtha ganaya,Not Tulu
Tinpina style onte change malpule melane yelle yelle tinle ❤tinpina ok anda  melane,Mixed
ಬಾರಿ ಪೊರ್ಲುದ ಪದ್ಯ 🙏🙏🙏🙏❤️❤️,Positive
Bro 90s vs now da video malpule atha stand up comedy..,Neutral
"ಪ್ಯಾರಾಲಿಂಪಿಕ್ಸ್‌‌ದ ಹೈ ಜಂಪ್ ಗೊಬ್ಬುಡು ಬೊಳ್ಳಿದ ಪದಕೊ ಗೆಂದ್‌ದ್ ನಮ್ಮ ದೇಸೊದ ಕೊಡಿನ್ ರಾಪಾಯಿನ ಮರಿಯಪ್ಪನ್ ಮೆರೆಗ್ ಉಡಲ್‌ದಿಂಜಿ ಸೊಲ್ಮೆಲು.
#Paralympics 
#Praise4Para ",Positive
Nikaleg Hindu devereg bele kattuna and,Mixed
Suresh anne ori nijavadula daksha thirpugarer,Positive
Ode  pothar  eth2 dina,Neutral
Trailer pnpundu film yncha uppndu😅,Neutral
Yeath Sala thootharu tuvodu pandh apundu️️️,Positive
"Great Work MIK :-)""",Not Tulu
"""I just fall love with this song,, awesome lirycs 🥰🥰""",Not Tulu
One of the best episode.... Inchina ne contain mlple edde apnd..,Positive
Prajwal Kumar action s like Aaruva  Koragappa Rai..super action super dialogue,Not Tulu
Santhu is little boring,Not Tulu
E dada kori meen thinadilkka malpuva maraithi Mella thinla donded thikonu dada rakase pathondhunda nik🤔😆😆😆,Negative
"Mast comedy Undu, Walter sir acting porlu.",Positive
"By the way santhu is bethal""",Not Tulu
Comment section jigga undu marre,Positive
News anchor now Tulu rapper 😎😀😀😂😎,Not Tulu
Sikeee aath undu anna review daala improve malpodchi yenna prakaara 🤣🤣🤣🔥🔥🔥❤,Neutral
"""ಒರ ಕುಲ್ಲುಲ್ಲೇ ಮರೇ. ಸೂಪರ್. ಆಶಾ ನ ಭಾವೆ,😃""",Neutral
"Nasal Consonant: ma, ಮ, മ

#TuluBaravu
#ReviveTuluScript ",Neutral
"""Old nataka da video upload malpole plz 🥰. Padil, kapikadrena ottige ithuna nataka da.""",Positive
ಸೂಪ್ಪರ್ ಭಾಗವತಿಗೆ ದೀರಾಜ್ sir,Not Tulu
joke ondu marre,Mixed
rocking prashamsa... we'll said gurukiran ....,Not Tulu
Yepa thojavar ye Santhu n 😂,Neutral
very good umesh anna,Positive
"""Awesome Sir, Erna expression , voice modulation,,..... Tottal Fun package""",Positive
ಕಿರಿ ಕಿರಿ ಜೋಡಿಲು ಭಾರಿ ಪುದರ್ ಬೈದೆನ್ಡ್ ತುಂಬಾ ಧನ್ಯವಾದೋಳು ನಿಗಲೆಗ್,Positive
Nekk Dada Pndh Status paduni,Mixed
Superrr super superrrrr,Positive
Good voice bro🔥👌.. keep it up.Wish you luck for your upcoming projects,Not Tulu
Porlu da porlu Tulu bashe....,Positive
"""ಕನ್ನಡದಲ್ಲೂ ವೆಬ್ ಸಿರೀಸ್ ಬರ್ತಾ ಇವೆ 🥂",Not Tulu
"""acting good,but please stop double meaning jokes.""",Not Tulu
"Mastu tulu picture down load malple plzzz""",Neutral
"""Hey now you should sing one tulu song",Not Tulu
Kodeda ( 3/10/21 )Shantham Papam Kadak police officer,Neutral
Love from KASARAGOD 💖,Not Tulu
"""The best show ever I have watched in my mother tongue.",Not Tulu
"""ಬಾರಿ ಪೊರ್ಲುದ ಸಾಹಿತ್ಯ ರಚನೆ,,, ಅಂಚನೆ ಪೊರ್ಲುದ ಗಾಯನ,, ಚಿತ್ರೀಕರಣ 👌👌👌❤❤❤""",Positive
Uff! Can't control 😂,Not Tulu
ರೋಮಾಂಚನ. ಕಥೆ ಹಾಗೂ ಅಭಿನಯ ನಿರ್ದೇಶನ,Positive
boring comedy chanagilla..,Not Tulu
Wow ajji love you  radd budle ajjj areg,Positive
fab.... love from Spain.. 😘😘😘porlu,Positive
ಒಂಜಿ ಚೂರು ಹೆಚ್ಚಿ ಕಮ್ಮಿ ಆತುಂಡ walterನ್  water ಪಂದ್ ice ಪಾಡ್ಡ್ ಪರ್ತುವೆರ್😢,Neutral
Sokuda film super undu,Positive
1:02 ... ಎಂಚಿನ ಒಯ್ತಿನಿ ಮರೆ.....,Mixed
ranjan rockzzz comedy suprrr,Not Tulu
yernla copy malpujar comdy er ave erg + point .,Positive
Mangaluru famous nepali song 😂,Not Tulu
Prasamsha kapu s awesome team :),Not Tulu
"vijayanatha vittala shtreg la,, poora kalavideregla,,",Neutral
Salman k body undu adh ille,Not Tulu
Diksha mam pw mai padhi h 😀😊,Not Tulu
ನಿಮ್ಮ ವೆಬ್ ಸಿರಿಸ ಸೂಪರ್,Not Tulu
Dami xa hai,Not Tulu
After a long time ago one of my fav song omg what a choreography 😍🙏🏻❤,Not Tulu
Daada karma undhu,Negative
ayo ayo nana Dada boduuuu,Neutral
Poora phadle Anna. Tundu tundu toodu toodu sakandu,Mixed
Chance pe Chance 😂😂😂😂😂😂😂,Not Tulu
Du top subject,Positive
Suuuuurb battrena tatto porl und..,Positive
Vikasn driver pand daayeg panpa nikk bejar aapujade areg sambala korpana baari ahankara undu nikk🤭🤭,Negative
Sav da bhai aa allu arjun na song lakaii nett annd,Negative
Last ta comidy ultimate Ethnd ye..telith telith saakand ye... .,Positive
Superb voice sir Solmelu..,Positive
Thank you so much Ghanshyam. Lets start with you. #MembershipForMIK,Not Tulu
Dayega de raksha  leka dinappa marledi 😂😂,Negative
Really wonderful program  thanks daijiworld TV 🙏🙏🙏🙏 n Walter sir,Not Tulu
Masth porlu athnd,Positive
9:00 bike d oith pope,Mixed
randeep hooda tuyeda ayana initial gadi gadi change apuna toode bal dethone😂,Neutral
nice song... co dancers edde dance malder :-),Positive
barsa beute song,Neutral
ಮರ್ಮಯೆ ಹೀರೊ ಜಾಸ್ತಿ ಕೋಮಿಡಿ,Positive
😂Super Arpit Anna👍 picture tuvodunde ejji 😶devere Mande haal and Kali review tude 😅,Mixed
Bale Tulu Lipit Bareka | Jai Tulunad | SDM LAW COLLEGE | 16th &amp; 17th Feb 2024 | Tulu Script,Neutral
"ajji is no more,,sad news",Neutral
@RK-zn7ib  andh aar yenna akka ne,Neutral
"""28 like bro ,the video is supet""",Not Tulu
Indu sauda comedy,Negative
Onje episode d 2team yencha final entry...pictrs yencha,Mixed
#TuluScript #TuluLipi #BTLK Bale Tulu Lipi Kalpuga #TuluScriptLearningClass #TuluScriptExam,Neutral
Avu recording yencha sir malder,Neutral
Superb act. Al the best maskiri kudla👍,Not Tulu
"Irna batlee song bokka making video  sakath atundu""",Positive
Av ponnu part mldinarna pudar dada,Mixed
"ಬೊಲ್ಮಣ್ಣ್‌ಡ್

#BaleTuluLipiKalpuga  #BTLK #TuluScriptLearningClass  #TuluBarahu  #Tulubaravu  #TuluLipi #TuluScript #Belmann #Bolmann #JaiTulunad #TuluAcademy #Karla ",Neutral
"ತುಲು ಲಿಪಿತ ಪುದರ್ ಪಲವೆ ಉದಿಪನ ಲೇಸ್

#TuluScriptNameBoard #TuluLipi #TuluScript #TuluLipi  #TuluBaravu #TuluBarahu ",Neutral
Ayana pukuline erandala ora narde korle mare,Neutral
Undu patera panda  😂😂😂😂,Positive
ಇಂತಹ ಕಾಮಿಡಿಯಿಂದ ಭಾಷೆಗೂ ಅವಮಾನ,Not Tulu
dedicate to my pukuli maya S️️️,Mixed
ಎಡ್ಡೆ ಹಾಸ್ಯ...ಭಾರಿ ಶೋಕಾತ್ಂಡ್....ದಾಯ್ಜಿವರ್ಲ್ಡ್ ಚಾನೆಲ್ ಗ್ ಸೊಲ್ಮೆಲು...😂🙏,Positive
​ @AkshayKumar-od8du  Bro please write in your own script so that we can translate.,Not Tulu
"""Ayag pukulin Google d sarch manpoli,🤣🤣🤣🤣""",Neutral
"""Tumara eh song bahut 'pukuli' hai bhai...",Not Tulu
Waaaಎಡ್ಡೆ ರೀತಿ ಡ್ ಮಂದರ್ goosebumpsಕೊರಗಜ್ಜ,Positive
Yabbaaaa rakkilekka thinpunu🤮,Negative
Ayana maya Athina pukuli areda undu,Neutral
Et kendala nanala kenodu pand apundu.,Positive
Niklena moke ashirvada prothsaha inchene namma teamda mitthu uppad,Positive
Rishi masth tumbuver :P,Neutral
Prfct prtnr tikder,Positive
"RT @Mahimulki: ತುಳುಕು ರಾಜ್ಯ ಬಾಸೆದ ಮಾನಾದಿಗೆದ ಪೊರುಂಬಾವಡ್, 8ನೇ ಪರಿಚ್ಚೇದೊದ ಪೊರುಂಬು ಆವಡ್ ಇನಿ ಕೋಡೆದ ಅತ್ತ್. ತುಳುಕು ಸ್ವತಂತ್ರ್ಯ ಅಸ್ಥಿತ್ವ ಬೋಡು ಇಜಿಂಡ…",Mixed
Ya kukkuda feeling byankaraaa 😂😂😂... This episode was jigaaa ❤️❤️❤️ ...,Positive
Kadandaleg dialogue ijja,Neutral
"Tulu letter: kṛ, ಕೃ, കൃ

#TuluBaravu
#ReviveTuluScript ",Neutral
"""One thing has to say that u have a great voice. I liked it.",Not Tulu
Obviously we missed Santu😢😢,Not Tulu
vijayanna please next seasongh prasamshagh chance korle.. please verry gud performens hats upp,Positive
Super Concept Anna...,Positive
@rithikshetty4693  kulle batthe 🤭,Neutral
RT @livelymangalore: ದಂಧೆ ಜೋರಾಗಿದೆ. ಸ್ವಾಮಿ ಕೊರಗಜ್ಜ ಕಾಪುಲೆ,Mixed
CK film act malpule ....suuperb acting CK,Mixed
RT @TPaksha: ತುಲುನಾಡ್ಡ್  ತುಲು ಬಾಸೆನ್ ಬೊಕ್ಕ ಕೊಡವನಾಡ್ಡ್  ಕೊಡವ ಬಾಸೆನ್ ಶಿಕ್ಷಣ ಬೊಕ್ಕ ಆಡಳಿತಡ್ ಕಡ್ಡಾಯ ಮಲ್ಪುನ ಬಗ್ಗೆಟ್ಟ್ ತುಲುವೆರೆ ಪಕ್ಷ ಕರ್ನಾಟಕ ಮುಖ್ಯ…,Neutral
ದಿನೇಶ್ ಕೊಡಪದವು ಕಾಮಿಡಿ ಬಾರಿ ಪೊರ್ಲು ಸೂಪರ್,Positive
Kelavara thoonaga OK ... Dumbuda masth kushi aavonditthundu.,Positive
Kindly send kannada comedy like dwista dhiguna maharaja,Not Tulu
मेक्सम र नरेशको गित,Not Tulu
unden thoodu thelthd thelthd bachind,Positive
Danya dhanya mei kesari ka rang🤣🤣🤣,Not Tulu
Super chotu Anna,Positive
"Er nana comidy maatra atth dancela malpodu""",Neutral
Studio ಲೆತ್ತ್ ದ್ ಹಾಕೆರೆ ಬಲ್ಲಿ,Mixed
"Devergu ....koti chennayer nu comedy manpere ballithundu,,thappu manthar",Negative
Yakshagaana  yEnglish ittela tooyara ista malpe,Positive
Daily kori meen kajipu malpule barper 😂,Neutral
Congratulations team mad in kudla for 100k subscribers 🥳🥳🥰🤩😍😍😍,Not Tulu
"V', ""Mohanlal'na ಮಲಯಾಳ film 'Baletta' copy ಮಾಡಿದು"", 'Malyalm movie dubed",Not Tulu
Andala edrivar panodche rakshitha I love u rakshita❤,Positive
Mad in kudla  spr comdy,Not Tulu
ಸಂತೋಷ ಆಂಡ್  ಸರ್,Positive
Oo bhai powder dha🤣🤣🤣,Not Tulu
ತೂನಗನೇ ಮೈ ಇರ್ಮೆನ ಆಪುಂಡು,Positive
Gattadakl aanda dadand bro 🙄🙄🙄,Neutral
Please avoid using thulunada dhaiva deverna names 🙏😢 in comedy show.,Negative
Center fresh tindede paatheruna jeeb lab labaaaaaayi,Neutral
E song n search malthinareg award korodu,Positive
Kelau Manda Buddiyavarige Bereyarige kashta kottare kushi sikaththe.,Not Tulu
Super comedy actor devdas kapikad🙏🙏🙏,Not Tulu
Sprrrr umesh mejar,Positive
12 nimisha thooye dala comedy ijji dayeganna English thulutu apujjaaa???????,Mixed
supper undu mathara,Positive
ಉಂದು ಉಂದು ಉಂದು ಬೋಡಿತ್ತಿನಿ....,Positive
Deepak Rai  super  comedy,Not Tulu
Nice vlog 👍❤️❤️,Not Tulu
Avn pukli maya aytante,Not Tulu
Only tulunadu people understand the feeling of lyrics😂😂😂😁,Not Tulu
Sanu ejjande bor apund,Neutral
eeth samaya dethara mare upload manpere... finally thanks 😍🤘,Positive
"God bless you all👍👃""",Not Tulu
"""Best bhagavathike, himmela, hasya, quality one👍☺️""",Not Tulu
